epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7313,1.01738,4.44576,1.12854,0.0313,0.15789,0.05331,0.04143,0.85955,4.12436,0.95967,9.69574e-05,9.69574e-05,9.69574e-05
2,35.525,0.81297,3.27829,1.01312,0.55286,0.29676,0.26661,0.20539,0.92377,2.69895,1.03478,0.000193027,0.000193027,0.000193027
3,43.0805,0.78442,2.0171,0.99435,0.58551,0.5105,0.48508,0.36448,0.90509,1.72974,1.01718,0.000287157,0.000287157,0.000287157
4,50.6322,0.72699,1.413,0.96224,0.60787,0.51734,0.54077,0.41484,0.8409,1.55968,0.9991,0.000285268,0.000285268,0.000285268
5,58.1567,0.67312,1.168,0.94565,0.58995,0.6117,0.60592,0.46976,0.80163,1.36937,0.96736,0.000282358,0.000282358,0.000282358
6,65.6159,0.63562,1.02078,0.93377,0.6736,0.66715,0.6745,0.51518,0.7915,1.20416,0.97862,0.000279447,0.000279447,0.000279447
7,73.2969,0.60672,0.90161,0.91891,0.69046,0.7391,0.70914,0.53865,0.80615,1.24216,0.97125,0.000276536,0.000276536,0.000276536
8,80.886,0.5871,0.82835,0.91398,0.71927,0.78829,0.79654,0.61955,0.79163,1.15508,0.96546,0.000273626,0.000273626,0.000273626
9,88.4332,0.56315,0.77507,0.90456,0.75156,0.75977,0.77789,0.59744,0.81938,1.13426,0.98088,0.000270715,0.000270715,0.000270715
10,95.9186,0.54383,0.72866,0.89832,0.76791,0.75875,0.79818,0.61762,0.81922,1.05789,0.97089,0.000267805,0.000267805,0.000267805
11,103.4,0.52838,0.6921,0.89284,0.76761,0.73841,0.78997,0.61606,0.77736,1.06003,0.96308,0.000264894,0.000264894,0.000264894
12,110.854,0.52331,0.68088,0.8869,0.73333,0.75617,0.78877,0.61138,0.78833,1.09062,0.96851,0.000261983,0.000261983,0.000261983
13,118.315,0.51176,0.64763,0.88423,0.73083,0.77543,0.79703,0.62421,0.80172,1.06105,0.97183,0.000259073,0.000259073,0.000259073
14,125.823,0.49727,0.633,0.88394,0.73382,0.78845,0.77502,0.5962,0.82207,1.07595,0.98929,0.000256162,0.000256162,0.000256162
15,133.304,0.48317,0.60991,0.87397,0.71736,0.81948,0.80346,0.63196,0.81151,0.96884,0.96395,0.000253252,0.000253252,0.000253252
16,140.764,0.47816,0.59776,0.87637,0.78487,0.75611,0.81887,0.63096,0.81737,1.01313,0.9743,0.000250341,0.000250341,0.000250341
17,148.273,0.4604,0.57189,0.86966,0.78704,0.76544,0.8032,0.62828,0.7689,1.00179,0.96246,0.00024743,0.00024743,0.00024743
18,155.733,0.4515,0.55142,0.86813,0.66912,0.84501,0.79993,0.61827,0.81109,1.06788,0.96835,0.00024452,0.00024452,0.00024452
19,163.213,0.45478,0.56044,0.86699,0.74163,0.78837,0.81567,0.61488,0.84343,1.04137,0.99989,0.000241609,0.000241609,0.000241609
20,170.664,0.44523,0.54234,0.86313,0.7908,0.7877,0.81532,0.61773,0.82744,1.05372,0.9865,0.000238699,0.000238699,0.000238699
21,178.144,0.42919,0.51858,0.85708,0.71699,0.82009,0.80882,0.63026,0.78797,1.04374,0.96188,0.000235788,0.000235788,0.000235788
22,185.621,0.42468,0.50958,0.85787,0.68695,0.8047,0.82464,0.63239,0.80712,1.02499,0.9716,0.000232877,0.000232877,0.000232877
23,193.09,0.42487,0.50299,0.85552,0.68081,0.82962,0.82304,0.62723,0.8371,1.02779,0.9928,0.000229967,0.000229967,0.000229967
24,200.524,0.40962,0.48117,0.8577,0.7677,0.77395,0.81312,0.63254,0.80694,1.00412,0.97982,0.000227056,0.000227056,0.000227056
25,208,0.40977,0.4919,0.85218,0.71059,0.82028,0.82145,0.63438,0.8063,1.0417,0.97667,0.000224146,0.000224146,0.000224146
26,215.426,0.40207,0.46938,0.85208,0.75547,0.82114,0.83853,0.65993,0.78294,1.0281,0.96287,0.000221235,0.000221235,0.000221235
27,222.888,0.39228,0.46798,0.85064,0.71381,0.83802,0.84146,0.65599,0.81848,1.00842,0.97515,0.000218324,0.000218324,0.000218324
28,230.323,0.39129,0.46955,0.84906,0.73551,0.77513,0.81543,0.63932,0.79796,1.07329,0.97246,0.000215414,0.000215414,0.000215414
29,237.769,0.38521,0.45273,0.8498,0.73056,0.80431,0.83205,0.64659,0.82889,1.00303,0.98833,0.000212503,0.000212503,0.000212503
30,245.405,0.3868,0.44624,0.84858,0.75757,0.77749,0.79638,0.62617,0.79222,1.00174,0.96656,0.000209593,0.000209593,0.000209593
31,253.535,0.37828,0.4397,0.84474,0.76168,0.7897,0.80162,0.618,0.79671,1.03505,0.97881,0.000206682,0.000206682,0.000206682
32,261.626,0.36821,0.42935,0.84214,0.75001,0.74903,0.80148,0.61614,0.81528,1.04389,0.98598,0.000203771,0.000203771,0.000203771
33,269.264,0.36516,0.42773,0.84109,0.78767,0.80569,0.82613,0.63419,0.82117,1.06817,0.99188,0.000200861,0.000200861,0.000200861
34,276.726,0.36474,0.42134,0.84744,0.74166,0.7734,0.81827,0.63969,0.80563,1.01246,0.97542,0.00019795,0.00019795,0.00019795
35,284.19,0.36454,0.41462,0.84339,0.77901,0.73628,0.80276,0.62684,0.82714,0.98527,0.99307,0.00019504,0.00019504,0.00019504
36,291.642,0.36341,0.41456,0.84355,0.75681,0.77811,0.80095,0.63655,0.80638,0.98338,0.97013,0.000192129,0.000192129,0.000192129
37,299.14,0.35757,0.41274,0.84129,0.80053,0.77133,0.80354,0.62108,0.81048,1.11171,0.9776,0.000189218,0.000189218,0.000189218
38,306.649,0.3585,0.40423,0.84342,0.77455,0.76494,0.79599,0.62468,0.80743,0.99016,0.9801,0.000186308,0.000186308,0.000186308
39,314.172,0.35695,0.39857,0.84328,0.82286,0.74964,0.81602,0.63589,0.80609,0.99473,0.99221,0.000183397,0.000183397,0.000183397
40,321.622,0.34488,0.39274,0.84,0.7525,0.76069,0.8159,0.63257,0.79585,1.03051,0.97274,0.000180487,0.000180487,0.000180487
41,329.094,0.33967,0.37892,0.83619,0.81347,0.74424,0.80398,0.63619,0.80814,1.06598,0.97637,0.000177576,0.000177576,0.000177576
42,336.512,0.33994,0.37981,0.8387,0.79399,0.76428,0.80196,0.62907,0.80774,1.04432,0.98465,0.000174665,0.000174665,0.000174665
43,343.944,0.34475,0.37916,0.83845,0.83254,0.7343,0.79903,0.62916,0.82578,1.02815,0.98628,0.000171755,0.000171755,0.000171755
44,351.346,0.34006,0.37948,0.8398,0.76445,0.76864,0.81827,0.64798,0.81591,1.02848,0.98403,0.000168844,0.000168844,0.000168844
45,358.787,0.33394,0.37014,0.83867,0.79505,0.77911,0.7904,0.61877,0.80753,1.07008,0.97571,0.000165934,0.000165934,0.000165934
46,366.226,0.33696,0.3662,0.83733,0.80471,0.80169,0.8122,0.64154,0.81109,0.98376,0.98688,0.000163023,0.000163023,0.000163023
